Manufacturer,Model,T_outside [°C],T_out [°C],EER,Group,Pdc [W],P_el [W],Pdc_n,P_el_c_n
DAIKIN Europe N.V.,EDLA09D(3)V3,30,7,4.69,1.0,7000.0,1492.5373134328356,0.7446808510638298,0.5319148936170213
DAIKIN Europe N.V.,EDLA09D(3)V3,25,7,6.7,1.0,4900.0,731.3432835820895,0.5212765957446809,0.26063829787234044
DAIKIN Europe N.V.,EDLA09D(3)V3,20,7,8.22,1.0,5700.0,693.4306569343065,0.6063829787234043,0.24712688305637523
DAIKIN Europe N.V.,EDLA09D(3)V3,35,18,4.0535,1.0,9667.899999999998,2385.0746268656712,1.0284999999999997,0.85
DAIKIN Europe N.V.,EDLA09D(3)V3,30,18,5.6749,1.0,6945.399999999999,1223.8805970149251,0.7388723404255317,0.4361702127659574
DAIKIN Europe N.V.,EDLA09D(3)V3,25,18,8.04,1.0,4527.599999999999,563.1343283582089,0.48165957446808505,0.20069148936170214
DAIKIN Europe N.V.,EDLA09D(3)V3,20,18,7.809,1.0,3411.45,436.8613138686131,0.36292021276595743,0.1556899363255164
DAIKIN Europe N.V.,ERGA06EVA / EHVH08SU18E6V,35,7,3.28,1.0,5090.0,1551.829268292683,1.0,1.0
DAIKIN Europe N.V.,ERGA06EVA / EHVH08SU18E6V,30,7,4.93,1.0,3750.0,760.6490872210953,0.7367387033398821,0.4901628695648708
DAIKIN Europe N.V.,ERGA06EVA / EHVH08SU18E6V,25,7,6.86,1.0,2470.0,360.05830903790087,0.48526522593320237,0.2320218572975078
DAIKIN Europe N.V.,ERGA06EVA / EHVH08SU18E6V,20,7,8.36,1.0,2520.0,301.43540669856463,0.4950884086444008,0.1942452129609611
DAIKIN Europe N.V.,ERGA06EVA / EHVH08SU18E6V,35,18,3.9687999999999994,1.0,5235.065,1319.0548780487807,1.0285,0.85
DAIKIN Europe N.V.,ERGA06EVA / EHVH08SU18E6V,30,18,5.965299999999999,1.0,3720.7499999999995,623.7322515212982,0.730992141453831,0.40193355304319406
DAIKIN Europe N.V.,ERGA06EVA / EHVH08SU18E6V,25,18,8.232,1.0,2282.2799999999997,277.2448979591837,0.4483850687622789,0.178656830119081
DAIKIN Europe N.V.,ERGA06EVA / EHVH08SU18E6V,20,18,7.941999999999999,1.0,1508.22,189.90430622009572,0.29631041257367385,0.12237448416540549
Panasonic Marketing Europe GmbH,WH-MDC05J3E5,35,7,3.17,1.0,5000.0,1577.2870662460568,1.0,1.0
Panasonic Marketing Europe GmbH,WH-MDC05J3E5,30,7,4.59,1.0,3680.0,801.7429193899783,0.736,0.5083050108932462
Panasonic Marketing Europe GmbH,WH-MDC05J3E5,25,7,6.7,1.0,2370.0,353.7313432835821,0.474,0.22426567164179104
Panasonic Marketing Europe GmbH,WH-MDC05J3E5,20,7,8.62,1.0,1050.0,121.80974477958236,0.21,0.07722737819025521
Panasonic Marketing Europe GmbH,WH-MDC05J3E5,35,18,3.8356999999999997,1.0,5142.5,1340.6940063091483,1.0285,0.85
Panasonic Marketing Europe GmbH,WH-MDC05J3E5,30,18,5.5539,1.0,3651.296,657.4291938997821,0.7302592,0.41681010893246184
