Manufacturer,Model,Date,Type,Subtype,Group,Refrigerant,Mass of Refrigerant [kg],SPL indoor [dBA],SPL outdoor [dBA],PSB [W],Climate,P_el_h_ref [W],P_th_h_ref [W],COP_ref,P_el_c_ref [W],P_th_c_ref [W],p1_P_th,p2_P_th,p3_P_th,p4_P_th,p5_P_th,p6_P_th,p1_P_el_h,p2_P_el_h,p3_P_el_h,p4_P_el_h,p5_P_el_h,p6_P_el_h,p1_COP,p2_COP,p3_COP,p4_COP,p5_COP,p6_COP,MAPE_P_el_h,MAPE_COP,MAPE_P_th,p1_Pdc,p2_Pdc,p3_Pdc,p4_Pdc,p5_Pdc,p6_Pdc,p1_P_el_c,p2_P_el_c,p3_P_el_c,p4_P_el_c,p5_P_el_c,p6_P_el_c,p1_EER,p2_EER,p3_EER,p4_EER,p5_EER,p6_EER,MAPE_P_el_cooling,MAPE_EER,MAPE_Pdc
Airwell Residential,PAC BT MB 7KW H11,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410a,2.4,,64.0,16,average,2950,5900,2.0,,,883.5723947464181,-925.6132226046705,-706.7849406493248,383.8422227333477,238.4058100439298,131.55808694805376,-492.6592937130069,600.3567699363786,313.64449275925153,-281.44774442834324,-138.9268827957665,-3.471032857146437,55968.90764180403,-60173.58216548135,-43782.01223736392,24395.10282522604,15720.86436773289,8163.802489830031,2.2068119726008524,5.217411829308321,3.235627288641544,,,,,,,,,,,,,,,,,,,,,
Airwell Residential,PAC BT MB 9KW H11,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410a,2.4,,,16,average,3889,7700,1.98,,,172.72186845234106,-183.99908332585505,-123.72727391577988,77.70567666124829,46.6698370247499,12.222394113366734,65.61429191125545,35.48645684572854,-159.70281749482734,-31.110459336916183,-1.101063872663259,91.00542863894296,16560.426286264264,-17617.583009109894,-13184.164589912669,7006.524640345655,4658.3379247972,2666.76677795719,5.939850268489582,4.179998986152149,0.8732966848843668,,,,,,,,,,,,,,,,,,,,,
Airwell Residential,PAC-BT-UE-10KW-H11,2019-09-11,Outdoor Air/Water,Regulated,1.0,R410a,3.9,35.0,70.0,19,average,5903,10920,1.85,,,1050.9935131367183,-890.741333427085,-1082.5853968248985,378.78804841117176,224.72697695624427,323.77982886273503,-807.2636757782008,928.2130229549326,570.8752695193064,-414.9053851797352,-224.56506337775835,-56.300219416458845,26971.25253457668,-27802.33310287638,-22465.068167109555,11256.062962133865,7266.280826627576,4911.813722800728,9.768689931481608,2.7377734738444315,5.699717689815922,,,,,,,,,,,,,,,,,,,,,
Airwell Residential,PAC-BT-UE-12KW-H11,2019-09-11,Outdoor Air/Water,Regulated,1.0,R410a,3.9,35.0,69.0,19,average,4257,8600,2.02,,,1566.868526803128,-1416.371262491821,-1518.019116622415,605.2256413731077,356.1539459620759,413.5485302305229,734.3604174466537,-667.2151138944873,-704.8192368662593,253.4922396002566,183.0567528645004,204.58268236095645,-5557.187265553498,6575.017758658817,3656.3686251958993,-2877.4833561982778,-1635.8956864984784,-184.0027091345818,6.979916988365562,3.362334059291584,5.244280777575572,,,,,,,,,,,,,,,,,,,,,
Airwell Residential,PAC-BT-UE-12KW-H13,2019-09-11,Outdoor Air/Water,Regulated,1.0,R410a,3.9,,,19,average,5941,12120,2.04,,,1845.8898688847885,-1782.0744846839848,-1665.8200706169498,742.0576451235793,457.5804515685596,411.3271797462768,-295.6129187216408,357.7853812894214,191.8854952019505,-183.85546194074283,-75.01640999963615,3.479235294968196,29993.88679354169,-30923.286704313938,-24980.053998343425,12552.920482697224,8068.37278981491,5441.02115153952,13.184228435476586,3.920295706071309,7.110329936798042,,,,,,,,,,,,,,,,,,,,,
Airwell Residential,PAC-BT-UE-14KW-H11,2019-09-11,Outdoor Air/Water,Regulated,1.0,R410a,3.9,35.0,67.0,19,average,4423,8580,1.94,,,937.6733328154268,-802.8280956783832,-958.8576248657744,319.23978769484336,213.10164176929945,296.01687758903626,194.43568794669497,-89.49184245879053,-281.1067014274888,-1.4764303233568596,41.53310966583357,136.77603753336936,891.8590551692879,-700.3990079577815,-1000.476314943626,-64.3434104271959,324.8224647812035,561.385281442459,2.785025750037952,2.13976299546308,1.014652594709336,,,,,,,,,,,,,,,,,,,,,
Airwell Residential,PAC-BT-UE-14KW-H13,2019-09-11,Outdoor Air/Water,Regulated,1.0,R410a,3.9,,,19,average,4872,9550,1.96,,,2774.534244886124,-2751.987474272032,-2424.5269256155066,1154.275614106295,702.8533695054813,558.2724070642894,1422.771734435169,-1413.4124115328436,-1239.555053769722,563.7670445557021,375.3286657519862,297.85255915533725,1889.9995180194355,-1798.911678658166,-1744.909941100978,454.5807501937162,579.3882101878044,637.4964309540406,8.886007104739118,3.140781541648822,6.872590712041045,,,,,,,,,,,,,,,,,,,,,
Airwell Residential,PAC-BT-UE-16KW-H11,2019-09-11,Outdoor Air/Water,Regulated,1.0,R410a,3.9,35.0,70.0,19,average,5742,10680,1.86,,,2119.320615177304,-2053.436500785547,-1905.383214314967,862.4895180490391,523.9218277616393,463.2788560384941,203.6381610979445,-159.41367580663504,-220.78056113178124,39.341308841184016,54.30180401400971,83.9253477942537,25739.62968781069,-26235.337416009697,-21778.82439682989,10585.52823487724,6872.150595814675,4947.526672817481,9.617068108437014,0.6229619376802421,5.8876304432779,,,,,,,,,,,,,,,,,,,,,
Airwell Residential,PAC-BT-UE-16KW-H13,2019-09-11,Outdoor Air/Water,Regulated,1.0,R410a,3.9,35.0,70.0,19,average,5602,11260,2.01,,,1847.3331786160231,-1792.623769285388,-1656.891698246228,750.0593901694245,458.7213725694581,402.3927169846181,86.99784860071047,-56.29710971449247,-104.2505849334628,-7.223868172044138,29.41426271764092,51.93431902493651,29702.85054514684,-30269.274135334337,-25142.76874996175,12278.17716323096,7901.959913782747,5678.56717269643,14.181357520235164,2.513691074498001,7.253832950183707,,,,,,,,,,,,,,,,,,,,,
Airwell Residential,PAC-BT-UE-4KW-H11,2019-09-11,Outdoor Air/Water,Regulated,1.0,R410a,2.5,35.0,60.0,17,average,1394,2620,1.88,,,1015.6357979741992,-589.2079538322586,-1345.90304733353,286.6576157383053,130.77781283044348,505.95185074087806,-2014.616229658031,2349.717805508674,1381.449778418905,-985.1609754215816,-599.9229550502927,-141.9176499204136,32073.44376774734,-33338.56500702157,-26404.4275359637,13576.171364203725,8680.279179995141,5577.299062515915,4.088564147433482,1.009312001600903,1.885763314911652,,,,,,,,,,,,,,,,,,,,,
Airwell Residential,PAC-BT-UE-6KW-H11,2019-09-11,Outdoor Air/Water,Regulated,1.0,R410a,2.5,35.0,62.0,17,average,2472,4770,1.93,,,285.8810061942118,-147.8303312174225,-394.6817718566769,30.484800273036253,51.39712141562863,176.40044530330013,-812.4514300328235,976.1472294358252,526.1800193760565,-454.0863821542824,-228.269599550213,-11.678743225705608,5373.56421627608,-6150.238832723771,-3781.958717639193,2226.899472332275,1713.6046192782912,656.5753215830312,2.7560147232824086,4.144654285181529,1.9763628216650369,,,,,,,,,,,,,,,,,,,,,
Airwell Residential,PAC-BT-UE-8KW-H11,2019-09-11,Outdoor Air/Water,Regulated,1.0,R410a,2.8,35.0,65.0,17,average,2994,5330,1.78,,,1219.815681241443,-1030.0031871797603,-1265.1711199677488,422.17523642914927,267.32117251944135,391.35928241028256,-245.2652256394766,428.14961254331513,13.683241414316578,-211.15684769787603,-94.20548612598397,107.08907061471768,1835.8740020593543,-1989.3378945027248,-1431.8803166563362,489.723191426743,648.694603459625,465.48268755174087,7.618589888371538,0.7483300063544835,2.26721644176472,,,,,,,,,,,,,,,,,,,,,
Airwell Residential,WELLEA MONOBLOC 12 KW 1PH,2020-01-17,Outdoor Air/Water,Regulated,1.0,R32,2.8,,68.0,9,average,5507,11290,2.05,,,564.4631316704504,-576.1301766469727,-466.9718666978637,248.3967630917644,144.77884234521903,88.57694623736941,56.51692719076273,2.7805280073527365,-109.86536137505328,-33.64912955530223,15.172861822198634,69.25705929119705,-1102.8098762329882,583.4357064858958,1551.4011344555406,-467.3956132719824,-60.96203490804792,-498.0577344192074,3.03813463276285,4.916420584768745,1.9836322607620045,,,,,,,,,,,,,,,,,,,,,
Airwell Residential,WELLEA MONOBLOC 14 KW 1PH,2020-01-17,Outdoor Air/Water,Regulated,1.0,R32,2.8,,71.0,9,average,5941,12180,2.05,,,372.97123984944176,-362.5908706144823,-322.73683797518504,164.76068813964736,87.12727538151192,62.72755633349331,189.1825472810324,-110.01188800193432,-245.17080730570427,22.08680854499047,39.9396536714962,104.7492249598746,-4946.762167792136,4613.146069117953,4673.765324916402,-2148.734368336959,-1093.832870316042,-1110.6211890102368,1.461158392284216,5.869927912428141,0.986259724680204,,,,,,,,,,,,,,,,,,,,,
Airwell Residential,WELLEA MONOBLOC 14 KW 3PH,2020-01-17,Outdoor Air/Water,Regulated,1.0,R32,2.8,,71.0,9,average,5941,12180,2.05,,,-477.3273781332216,618.3882175573639,269.0113983172942,-245.35519502621804,-163.94323691040898,-3.153447866357843,14.681035457370204,93.91581624717745,-125.70249374083474,-70.85991069241037,-8.998460367988208,96.85566108597008,-9902.653142917656,10256.696582539143,8179.16872427773,-4293.792733834671,-2628.940811116349,-1652.4433218128383,27.916922394759244,6.201636317726234,25.60130189241401,,,,,,,,,,,,,,,,,,,,,
Airwell Residential,WELLEA MONOBLOC 16 KW 1PH,2020-01-17,Outdoor Air/Water,Regulated,1.0,R32,2.8,,71.0,9,average,6324,12900,2.04,,,-484.2291948729062,531.7793851722619,381.93711969204,-211.7254978063177,-141.2384106107839,-78.18449713487868,-181.69565538615203,304.2765379207553,30.162619137198725,-142.83402370801272,-70.15886458278354,59.18110201317316,9276.67320794619,-10479.934545383278,-6682.978063450161,4037.418866864353,2823.212157673669,1083.5607496911452,1.3683209323571217,3.269652529794069,0.4884646649215222,,,,,,,,,,,,,,,,,,,,,
Airwell Residential,WELLEA MONOBLOC 5KW,2020-01-17,Outdoor Air/Water,Regulated,1.0,R32,2.0,,61.0,9,average,2959,5830,1.97,,,-391.8752811633098,438.2170222396361,300.1234462728109,-174.54899893094472,-115.893985950573,-57.43113791368557,-582.2002075025378,692.2889673682893,388.0404849744384,-322.91030007228136,-161.06961982536154,-17.0763232658014,4466.148190089957,-5507.3513629684085,-2683.8824550775093,1987.041297985317,1536.4319550271505,236.85267795631987,1.844203790904834,3.395214824244463,1.2608088475056678,,,,,,,,,,,,,,,,,,,,,
